timestamp,query_type,zone_id,zone_b,cache_status,cache_key,latency_ms
1780377488.444243,Q5,Z5,,HIT,Q5:zone=Z5:bins=5,0.8475780487060547
1780377488.4455318,Q1,Z2,,HIT,Q1:zone=Z2:conf=0.5,0.7436275482177734
1780377488.4471474,Q3,Z1,,HIT,Q3:zone=Z1:conf=0.7,0.9908676147460938
1780377488.4491553,Q3,Z2,,HIT,Q3:zone=Z2:conf=0.0,1.3272762298583984
1780377488.4513934,Q3,Z1,,HIT,Q3:zone=Z1:conf=0.0,1.6295909881591797
1780377488.4537284,Q2,Z3,,HIT,Q2:zone=Z3:conf=0.5,1.7805099487304688
1780377488.4560878,Q1,Z3,,HIT,Q1:zone=Z3:conf=0.7,1.4715194702148438
1780377488.457401,Q1,Z3,,HIT,Q1:zone=Z3:conf=0.5,0.7379055023193359
1780377488.4587557,Q2,Z1,,HIT,Q2:zone=Z1:conf=0.7,0.8194446563720703
1780377488.4603896,Q3,Z4,,HIT,Q3:zone=Z4:conf=0.5,0.8313655853271484
1780377488.461855,Q1,Z3,,HIT,Q1:zone=Z3:conf=0.5,0.8223056793212891
1780377488.46308,Q3,Z2,,HIT,Q3:zone=Z2:conf=0.5,0.7288455963134766
1780377488.4642918,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.5,0.6935596466064453
1780377488.46557,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.5,0.8037090301513672
1780377488.466903,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.7,0.7207393646240234
1780377488.4682674,Q1,Z2,,HIT,Q1:zone=Z2:conf=0.7,0.7612705230712891
1780377488.4696112,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.7,0.7786750793457031
1780377488.470877,Q1,Z3,,HIT,Q1:zone=Z3:conf=0.5,0.7236003875732422
1780377488.4720657,Q4,Z3,Z5,HIT,Q4:zone_a=Z3:zone_b=Z5:conf=0.0,0.7259845733642578
1780377488.4735773,Q1,Z4,,HIT,Q1:zone=Z4:conf=0.5,1.0004043579101562
1780377488.4750435,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.7,0.9541511535644531
1780377488.4767895,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.5,1.1982917785644531
1780377488.4779801,Q3,Z1,,HIT,Q3:zone=Z1:conf=0.0,0.6718635559082031
1780377488.4792702,Q2,Z1,,HIT,Q2:zone=Z1:conf=0.7,0.7355213165283203
1780377488.4804196,Q1,Z4,,HIT,Q1:zone=Z4:conf=0.7,0.6861686706542969
1780377488.4836977,Q5,Z4,,MISS,Q5:zone=Z4:bins=5,2.969503402709961
1780377488.4847739,Q4,Z4,Z2,HIT,Q4:zone_a=Z4:zone_b=Z2:conf=0.5,0.5276203155517578
1780377488.4859955,Q3,Z4,,HIT,Q3:zone=Z4:conf=0.7,0.7328987121582031
1780377488.487081,Q3,Z2,,HIT,Q3:zone=Z2:conf=0.7,0.5884170532226562
1780377488.4881651,Q3,Z3,,HIT,Q3:zone=Z3:conf=0.7,0.6299018859863281
1780377488.4891727,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.7,0.5340576171875
1780377488.4903462,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.5,0.7650852203369141
1780377488.4913695,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.7,0.5648136138916016
1780377488.4923692,Q1,Z1,,HIT,Q1:zone=Z1:conf=0.0,0.6117820739746094
1780377488.4933255,Q3,Z4,,HIT,Q3:zone=Z4:conf=0.5,0.5550384521484375
1780377488.4972408,Q4,Z5,Z2,MISS,Q4:zone_a=Z5:zone_b=Z2:conf=0.7,3.742218017578125
1780377488.4982576,Q1,Z2,,HIT,Q1:zone=Z2:conf=0.7,0.5221366882324219
1780377488.4992611,Q2,Z5,,HIT,Q2:zone=Z5:conf=0.5,0.6031990051269531
1780377488.5006847,Q1,Z2,,HIT,Q1:zone=Z2:conf=0.7,0.7224082946777344
1780377488.5022905,Q2,Z1,,HIT,Q2:zone=Z1:conf=0.5,0.957489013671875
